time, id, size, x, y, z, orientation_w, orientation_x, orientation_y, orientation_z
1715813760154833873, 1, 0.085, 0.0217703610362402, -0.049882301955023314, 0.2667874312730789, 0.05592225352475552, 0.7073285577091207, -0.7032922726633392, 0.044033989393233795
1715813760221867873, 1, 0.085, 0.02176464274912986, -0.04985480863005772, 0.26692393072322407, 0.05654703566303198, 0.7073487162817015, -0.7032000358290664, 0.0443839604176142
1715813760288722873, 1, 0.085, 0.0217897537810484, -0.04983989085288808, 0.26682734627528104, 0.05528010792253344, 0.7073379742984065, -0.7032090562636042, 0.0459795929989709
1715813760355647873, 1, 0.085, 0.02176903399987966, -0.049862591188868655, 0.26682155781797917, 0.055842791906495035, 0.7073627279841819, -0.7032770609678838, 0.043828405939978436
1715813760422593873, 1, 0.085, 0.021763884986240264, -0.04987630572419263, 0.2668359215367199, 0.05613077996640493, 0.7073168108457593, -0.7033156573546775, 0.04358154144939488
1715813760489380873, 1, 0.085, 0.02176977670988687, -0.04986781507203927, 0.26695675471871266, 0.05631157072612023, 0.7073751999286034, -0.7032179115341676, 0.04397615747025943
1715813760556385873, 1, 0.085, 0.021775923840063657, -0.04983847428680776, 0.266862963097034, 0.056260660094059195, 0.707292160069843, -0.7032094866515988, 0.04548578143454382
1715813760623227873, 1, 0.085, 0.02176906985385953, -0.04985193943088702, 0.2668547288881618, 0.05597429859934659, 0.7073066533583581, -0.7032808642205757, 0.044499461035733434
1715813760690096873, 1, 0.085, 0.02176329194809837, -0.049870007415386365, 0.26683786839467194, 0.05603844583828916, 0.7073456565463431, -0.7032627268828647, 0.044083463229758174
1715813760757131873, 1, 0.085, 0.021781766545128003, -0.049852937450494426, 0.26688176911394823, 0.05564772861030844, 0.7073451533779436, -0.7032359495937781, 0.04500403862081486
1715813760823865873, 1, 0.085, 0.021788225560118415, -0.04984951427609411, 0.26688172230686263, 0.05563767426344169, 0.7074034447932996, -0.7031619143881328, 0.045256354815036814
1715813760890863873, 1, 0.085, 0.021774988052918987, -0.04984701794409998, 0.26690245598422085, 0.05610539098683938, 0.7073521682871221, -0.7032287317637428, 0.0444347380286952
1715813760957803873, 1, 0.085, 0.021767645683629266, -0.04986706714209009, 0.2668366237065955, 0.055957208613365415, 0.7073682294576015, -0.7032493200649891, 0.044038308168555425
1715813761024625873, 1, 0.085, 0.02178625251555251, -0.0498595462270832, 0.2668435329770321, 0.05591366380726213, 0.707333161934398, -0.703219124897654, 0.04512563136082045
1715813761091607873, 1, 0.085, 0.02177491556875778, -0.04985221351337667, 0.26688112274450354, 0.0564043206006002, 0.7073779641193703, -0.7031495360282206, 0.044896530814949216
1715813761158370873, 1, 0.085, 0.021777938297116235, -0.049859248917096255, 0.2668575372896397, 0.05555208724057979, 0.7073154803133296, -0.7032982273926122, 0.04461367793343593
1715813761225436873, 1, 0.085, 0.021762082249028356, -0.04985477725356204, 0.2668323613476871, 0.05616405362287388, 0.7073013982950586, -0.703274870103453, 0.044438588315487894
1715813761292234873, 1, 0.085, 0.021773002827042334, -0.049870728584266714, 0.2668162561286632, 0.05599347539389659, 0.7073832201457336, -0.7032034050516619, 0.04448237508625515
1715813761359164873, 1, 0.085, 0.02177773196115551, -0.04986202573773627, 0.2668925364432151, 0.056248901626131734, 0.7073504061876388, -0.7031775148627899, 0.04508709930153885
